codigo_venta,codigo_almacen,cantidad,fecha,precio_total
130,39,1,2018-01-23,10
131,79,1,2018-01-23,24
132,256,1,2018-01-23,8
133,190,1,2018-01-24,12
134,159,1,2018-01-24,22
135,228,1,2018-01-24,20
136,151,1,2018-01-24,20
137,45,1,2018-01-24,11
138,45,1,2018-01-24,11
139,182,1,2018-01-24,15
140,242,1,2018-01-24,20
141,288,1,2018-01-24,28
142,79,1,2018-01-25,24
143,12,1,2018-01-25,11
144,12,1,2018-01-25,11
145,13,1,2018-01-25,11
146,41,1,2018-01-25,11
147,258,1,2018-01-25,9
148,249,1,2018-01-25,8
149,74,1,2018-01-26,26
150,289,1,2018-01-26,32
151,177,1,2018-01-26,12.5
152,230,1,2018-02-01,24
153,180,1,2018-02-01,14
154,248,1,2018-02-01,7.5
155,61,1,2018-02-01,13
156,246,1,2018-02-01,6.5
157,6,1,2018-02-01,11
158,65,1,2018-02-01,10
159,82,1,2018-02-01,27
160,293,1,2018-02-02,45
161,58,1,2018-02-02,10
162,105,1,2018-02-02,29
163,46,1,2018-02-02,12
164,180,1,2018-02-02,14
165,184,1,2018-02-02,12.5
166,40,1,2018-02-02,11
167,117,1,2018-02-02,27
168,221,1,2018-02-05,13.5
169,202,1,2018-02-05,14.5
170,8,1,2018-02-05,8.5
171,241,1,2018-02-05,19
172,112,1,2018-02-05,29
173,215,1,2018-02-05,14
174,243,1,2018-02-05,22
175,92,1,2018-02-05,23
176,148,1,2018-02-05,17
177,211,1,2018-02-06,12
178,138,1,2018-02-06,22
179,244,1,2018-02-06,24
180,289,1,2018-02-06,32
181,291,1,2018-02-06,38
182,244,1,2018-02-06,24
183,20,1,2018-02-06,11
184,47,1,2018-02-07,13
185,40,1,2018-02-07,11
186,122,1,2018-02-07,25
187,22,1,2018-02-07,8.5
188,274,1,2018-02-07,6.5
189,106,1,2018-02-07,23
190,246,1,2018-02-07,6.5
191,80,1,2018-02-07,25
192,78,1,2018-02-08,23
193,11,1,2018-02-08,10
194,39,1,2018-02-08,10
195,300,1,2018-02-08,45
196,288,1,2018-02-08,28
197,177,1,2018-02-08,12.5
198,8,1,2018-02-09,8.5
199,8,1,2018-02-09,8.5
200,176,1,2018-02-09,12
201,203,1,2018-02-09,15
202,45,1,2018-02-09,11
203,10,1,2018-02-09,9.5
204,40,1,2018-02-12,11
205,288,1,2018-02-12,28
206,55,1,2018-02-13,13
207,13,1,2018-02-13,11
208,275,1,2018-02-13,7
209,129,1,2018-02-14,19
210,141,1,2018-02-14,17
211,40,1,2018-02-14,11
212,162,1,2018-02-14,17
213,198,1,2018-02-14,12.5
214,234,1,2018-02-14,19
215,292,1,2018-02-14,42
216,209,1,2018-02-15,14.5
217,204,1,2018-02-15,12
218,38,1,2018-02-15,9.5
219,160,1,2018-02-15,24
220,225,1,2018-02-15,17
221,9,1,2018-02-15,9
222,297,1,2018-02-15,35
223,109,1,2018-02-15,26
224,240,1,2018-02-16,18
225,80,1,2018-02-16,25
226,11,1,2018-02-16,10
227,43,1,2018-02-16,9.5
228,138,1,2018-02-16,22
229,177,1,2018-02-19,12.5
230,41,1,2018-02-19,11
231,79,1,2018-02-19,24
232,48,1,2018-02-19,13
233,301,1,2018-02-19,48
234,151,1,2018-02-19,20
235,227,1,2018-02-19,19
236,10,1,2018-02-19,9.5
237,26,1,2018-02-20,11
238,44,1,2018-02-20,10
239,2,1,2018-02-20,9
240,8,1,2018-02-20,8.5
241,229,1,2018-02-20,22
242,230,1,2018-02-21,24
243,183,1,2018-02-21,12
244,37,1,2018-02-21,9
245,203,1,2018-02-22,15
246,250,1,2018-02-22,8.5
247,173,1,2018-02-22,14
248,204,1,2018-02-22,12
249,170,1,2018-02-22,12.5
250,22,1,2018-02-22,8.5
251,47,1,2018-02-22,13
252,38,1,2018-02-22,9.5
253,250,1,2018-02-22,8.5
254,79,1,2018-02-22,24
255,101,1,2018-02-23,25
256,40,1,2018-02-23,11
257,291,1,2018-02-23,38
258,39,1,2018-02-23,10
259,173,1,2018-02-23,14
260,240,1,2018-02-23,18
261,44,1,2018-02-26,10
262,36,1,2018-02-26,8.5
263,197,1,2018-02-26,12
264,45,1,2018-02-26,11
265,275,1,2018-02-26,7
266,208,1,2018-02-27,14
267,251,1,2018-02-27,9
268,292,1,2018-02-27,42
269,276,1,2018-02-27,7.5
270,211,1,2018-02-27,12
271,243,1,2018-02-27,22
272,211,1,2018-02-27,12
273,48,1,2018-02-27,13
274,226,1,2018-02-28,18
275,232,1,2018-02-28,17
276,82,1,2018-02-28,27
277,246,1,2018-02-28,6.5
278,176,1,2018-02-28,12
279,131,1,2018-03-01,22
280,78,1,2018-03-01,23
281,27,1,2018-03-01,11
282,249,1,2018-03-01,8
283,298,1,2018-03-01,38
284,242,1,2018-03-01,20
285,239,1,2018-03-02,17
286,248,1,2018-03-02,7.5
287,293,1,2018-03-02,45
288,292,1,2018-03-05,42
289,270,1,2018-03-05,8
290,138,1,2018-03-05,22
291,285,1,2018-03-05,42
292,228,1,2018-03-05,20
293,45,1,2018-03-06,11
294,128,1,2018-03-06,18
295,27,1,2018-03-06,11
296,38,1,2018-03-06,9.5
297,22,1,2018-03-06,8.5
298,250,1,2018-03-06,8.5
299,25,1,2018-03-06,10
300,274,1,2018-03-06,6.5
301,12,1,2018-03-06,11
302,47,1,2018-03-07,13
303,40,1,2018-03-07,11
304,57,1,2018-03-07,9.5
305,208,1,2018-03-07,14
306,39,1,2018-03-07,10
307,247,1,2018-03-07,7
308,68,1,2018-03-08,13
309,205,1,2018-03-08,12.5
310,289,1,2018-03-08,32
311,82,1,2018-03-08,27
312,230,1,2018-03-08,24
313,10,1,2018-03-09,9.5
314,48,1,2018-03-09,13
315,250,1,2018-03-09,8.5
316,247,1,2018-03-09,7
317,178,1,2018-03-09,13
318,47,1,2018-03-09,13
319,54,1,2018-03-09,13
320,80,1,2018-03-12,25
321,8,1,2018-03-12,8.5
322,37,1,2018-03-12,9
323,138,1,2018-03-12,22
324,289,1,2018-03-12,32
325,246,1,2018-03-12,6.5
326,79,1,2018-03-13,24
327,136,1,2018-03-13,19
328,242,1,2018-03-13,20
329,241,1,2018-03-13,19
330,179,1,2018-03-13,13.5
331,183,1,2018-03-13,12
332,71,1,2018-03-13,23
333,150,1,2018-03-14,19
334,290,1,2018-03-14,35
335,174,1,2018-03-14,14.5
336,231,1,2018-03-14,25
337,178,1,2018-03-14,13
338,218,1,2018-03-15,12
339,104,1,2018-03-15,28
340,92,1,2018-03-15,23
341,287,1,2018-03-15,48
342,9,1,2018-03-15,9
343,265,1,2018-03-15,9
344,100,1,2018-03-16,24
345,251,1,2018-03-16,9
346,83,1,2018-03-16,28
347,111,1,2018-03-16,28
348,176,1,2018-03-16,12
349,46,1,2018-03-16,12
350,227,1,2018-03-19,19
351,240,1,2018-03-19,18
352,12,1,2018-03-19,11
353,248,1,2018-03-19,7.5
354,54,1,2018-03-19,13
355,178,1,2018-03-19,13
356,80,1,2018-03-20,25
357,156,1,2018-03-20,18
358,80,1,2018-03-20,25
359,151,1,2018-03-20,20
360,39,1,2018-03-20,10
361,27,1,2018-03-20,11
362,25,1,2018-03-20,10
363,43,1,2018-03-21,9.5
364,183,1,2018-03-21,12
365,221,1,2018-03-21,13.5
366,111,1,2018-03-21,28
367,283,1,2018-03-21,35
368,290,1,2018-03-22,35
369,110,1,2018-03-22,27
370,288,1,2018-03-22,28
371,12,1,2018-03-22,11
372,79,1,2018-03-22,24
373,6,1,2018-03-22,11
374,153,1,2018-03-22,24
375,265,1,2018-03-22,9
376,71,1,2018-03-22,23
377,9,1,2018-03-22,9
378,177,1,2018-03-23,12.5
379,180,1,2018-03-23,14
380,247,1,2018-03-23,7
381,44,1,2018-03-23,10
382,13,1,2018-03-26,11
383,179,1,2018-03-26,13.5
384,137,1,2018-03-26,20
385,199,1,2018-03-26,13
386,131,1,2018-03-26,22
387,25,1,2018-03-26,10
388,252,1,2018-03-26,10
389,181,1,2018-03-27,14.5
390,180,1,2018-03-27,14
391,301,1,2018-03-27,48
392,152,1,2018-03-27,22
393,176,1,2018-03-27,12
394,230,1,2018-03-27,24
395,290,1,2018-03-27,35
396,31,1,2018-03-27,9.5
397,46,1,2018-03-27,12
398,293,1,2018-03-28,45
399,137,1,2018-03-28,20
400,11,1,2018-03-28,10
401,249,1,2018-03-28,8
402,176,1,2018-03-28,12
403,212,1,2018-03-28,12.5
404,208,1,2018-03-29,14
405,154,1,2018-03-29,25
406,44,1,2018-03-29,10
407,180,1,2018-03-29,14
408,10,1,2018-03-29,9.5
409,46,1,2018-03-29,12
410,152,1,2018-03-29,22
411,267,1,2018-03-29,6.5
412,82,1,2018-03-30,27
413,236,1,2018-03-30,22
414,87,1,2018-03-30,25
415,22,1,2018-03-30,8.5
416,23,1,2018-03-30,9
417,187,1,2018-04-02,14
418,223,1,2018-04-02,14.5
419,26,1,2018-04-02,11
420,229,1,2018-04-02,22
421,155,1,2018-04-02,17
422,141,1,2018-04-03,17
423,273,1,2018-04-03,10
424,45,1,2018-04-03,11
425,45,1,2018-04-04,11
426,40,1,2018-04-04,11
427,26,1,2018-04-05,11
428,212,1,2018-04-05,12.5
429,72,1,2018-04-05,24
430,251,1,2018-04-05,9
431,250,1,2018-04-05,8.5
432,33,1,2018-04-05,11
433,40,1,2018-04-06,11
434,260,1,2018-04-06,6.5
435,75,1,2018-04-06,27
436,292,1,2018-04-09,42
437,251,1,2018-04-09,9
438,82,1,2018-04-09,27
439,12,1,2018-04-09,11
440,26,1,2018-04-10,11
441,129,1,2018-04-10,19
442,180,1,2018-04-10,14
443,22,1,2018-04-10,8.5
444,45,1,2018-04-10,11
445,149,1,2018-04-10,18
446,111,1,2018-04-11,28
447,82,1,2018-04-11,27
448,46,1,2018-04-12,12
449,40,1,2018-04-12,11
450,254,1,2018-04-12,7
451,36,1,2018-04-12,8.5
452,48,1,2018-04-12,13
453,82,1,2018-04-13,27
454,39,1,2018-04-13,10
455,118,1,2018-04-13,28
456,193,1,2018-04-13,13.5
457,229,1,2018-04-13,22
458,40,1,2018-04-13,11
459,260,1,2018-04-13,6.5
460,229,1,2018-04-16,22
461,243,1,2018-04-16,22
462,152,1,2018-04-16,22
463,247,1,2018-04-16,7
464,288,1,2018-04-17,28
465,12,1,2018-04-17,11
466,74,1,2018-04-17,26
467,82,1,2018-04-17,27
468,152,1,2018-04-17,22
469,8,1,2018-04-18,8.5
470,230,1,2018-04-18,24
471,28,1,2018-04-18,12
472,181,1,2018-04-19,14.5
473,285,1,2018-04-19,42
474,40,1,2018-04-19,11
475,160,1,2018-04-19,24
476,60,1,2018-04-19,12
477,192,1,2018-04-20,13
478,178,1,2018-04-20,13
479,43,1,2018-04-20,9.5
480,249,1,2018-04-20,8
481,45,1,2018-04-20,11
482,80,1,2018-04-20,25
483,26,1,2018-04-20,11
484,234,1,2018-04-23,19
485,38,1,2018-04-23,9.5
486,82,1,2018-04-23,27
487,250,1,2018-04-23,8.5
488,70,1,2018-04-23,15
489,79,1,2018-04-24,24
490,13,1,2018-04-24,11
491,40,1,2018-04-24,11
492,246,1,2018-04-24,6.5
493,12,1,2018-04-24,11
494,37,1,2018-04-24,9
495,41,1,2018-04-25,11
496,248,1,2018-04-25,7.5
497,239,1,2018-04-25,17
498,187,1,2018-04-26,14
499,292,1,2018-04-26,42
500,230,1,2018-04-26,24
501,151,1,2018-04-26,20
502,44,1,2018-04-26,10
503,290,1,2018-04-27,35
504,180,1,2018-04-27,14
505,76,1,2018-04-27,28
506,43,1,2018-04-27,9.5
507,12,1,2018-04-27,11
508,243,1,2018-04-27,22
509,9,1,2018-04-27,9
510,82,1,2018-04-30,27
511,106,1,2018-04-30,23
512,36,1,2018-04-30,8.5
513,37,1,2018-04-30,9
514,11,1,2018-04-30,10
515,230,1,2018-04-30,24
516,43,1,2018-04-30,9.5
517,10,1,2018-04-02,9.5
518,299,1,2018-04-02,42
519,13,1,2018-04-02,11
520,178,1,2018-04-03,13
521,138,1,2018-04-03,22
522,178,1,2018-04-03,13
523,249,1,2018-04-03,8
524,292,1,2018-04-04,42
525,8,1,2018-04-04,8.5
526,227,1,2018-04-04,19
527,53,1,2018-04-05,12
528,9,1,2018-04-05,9
529,227,1,2018-04-05,19
530,200,1,2018-04-06,13.5
531,288,1,2018-04-06,28
532,240,1,2018-04-06,18
533,225,1,2018-04-06,17
534,79,1,2018-04-06,24
535,247,1,2018-04-09,7
536,71,1,2018-04-09,23
537,46,1,2018-04-10,12
538,250,1,2018-04-10,8.5
539,226,1,2018-04-10,18
540,11,1,2018-04-11,10
541,13,1,2018-04-11,11
542,290,1,2018-04-11,35
543,240,1,2018-04-11,18
544,230,1,2018-04-12,24
545,69,1,2018-04-12,13
546,119,1,2018-04-13,29
547,41,1,2018-04-13,11
548,83,1,2018-04-13,28
549,156,1,2018-04-16,18
550,141,1,2018-04-16,17
551,12,1,2018-04-17,11
552,261,1,2018-04-17,7
553,179,1,2018-04-18,13.5
554,50,1,2018-04-18,9.5
555,228,1,2018-04-19,20
556,177,1,2018-04-20,12.5
557,177,1,2018-04-23,12.5
558,53,1,2018-04-24,12
559,85,1,2018-04-25,23
560,248,1,2018-04-26,7.5
561,22,1,2018-04-27,8.5
562,225,1,2018-04-30,17
563,152,1,2018-04-30,22
564,299,1,2018-04-30,42
565,180,1,2018-04-30,14
566,70,1,2018-05-02,15
567,213,1,2018-05-02,13
568,148,1,2018-05-02,17
569,190,1,2018-05-02,12
570,236,1,2018-05-02,22
571,25,1,2018-05-03,10
572,47,1,2018-05-03,13
573,159,1,2018-05-03,22
574,247,1,2018-05-03,7
575,10,1,2018-05-04,9.5
576,13,1,2018-05-04,11
577,176,1,2018-05-04,12
578,226,1,2018-05-04,18
579,113,1,2018-05-07,23
580,290,1,2018-05-07,35
581,81,1,2018-05-07,26
582,83,1,2018-05-07,28
583,186,1,2018-05-08,13.5
584,225,1,2018-05-08,17
585,227,1,2018-05-08,19
586,47,1,2018-05-08,13
587,239,1,2018-05-09,17
588,153,1,2018-05-09,24
589,12,1,2018-05-09,11
590,184,1,2018-05-09,12.5
591,173,1,2018-05-10,14
592,176,1,2018-05-10,12
593,222,1,2018-05-10,14
594,48,1,2018-05-10,13
595,226,1,2018-05-11,18
596,46,1,2018-05-11,12
597,8,1,2018-05-11,8.5
598,12,1,2018-05-11,11
599,180,1,2018-05-14,14
600,141,1,2018-05-14,17
601,291,1,2018-05-14,38
602,103,1,2018-05-14,27
603,47,1,2018-05-15,13
604,43,1,2018-05-15,9.5
605,76,1,2018-05-15,28
606,236,1,2018-05-15,22
607,157,1,2018-05-16,19
608,225,1,2018-05-16,17
609,81,1,2018-05-16,26
610,239,1,2018-05-16,17
611,26,1,2018-05-17,11
612,73,1,2018-05-17,25
613,8,1,2018-05-17,8.5
614,243,1,2018-05-17,22
615,40,1,2018-05-18,11
616,180,1,2018-05-18,14
617,178,1,2018-05-18,13
618,226,1,2018-05-18,18
619,289,1,2018-05-21,32
620,228,1,2018-05-21,20
621,46,1,2018-05-21,12
622,225,1,2018-05-21,17
623,78,1,2018-05-22,23
624,228,1,2018-05-22,20
625,228,1,2018-05-22,20
626,298,1,2018-05-22,38
627,20,1,2018-05-23,11
628,90,1,2018-05-23,28
629,79,1,2018-05-23,24
630,80,1,2018-05-23,25
631,225,1,2018-05-24,17
632,177,1,2018-05-24,12.5
633,71,1,2018-05-24,23
634,23,1,2018-05-24,9
635,41,1,2018-05-25,11
636,9,1,2018-05-25,9
637,288,1,2018-05-25,28
638,178,1,2018-05-25,13
639,290,1,2018-05-28,35
640,248,1,2018-05-28,7.5
641,300,1,2018-05-28,45
642,230,1,2018-05-28,24
643,9,1,2018-05-29,9
644,9,1,2018-05-29,9
645,38,1,2018-05-29,9.5
646,36,1,2018-05-29,8.5
647,44,1,2018-05-30,10
648,10,1,2018-05-30,9.5
649,190,1,2018-05-30,12
650,139,1,2018-05-30,24
651,78,1,2018-05-31,23
652,263,1,2018-05-31,8
653,12,1,2018-05-31,11
654,154,1,2018-05-31,25
655,228,1,2018-05-02,20
656,79,1,2018-05-02,24
657,282,1,2018-05-03,32
658,107,1,2018-05-03,24
659,45,1,2018-05-04,11
660,44,1,2018-05-04,10
661,46,1,2018-05-07,12
662,225,1,2018-05-07,17
663,72,1,2018-05-08,24
664,277,1,2018-05-08,8
665,13,1,2018-05-09,11
666,122,1,2018-05-09,25
667,129,1,2018-05-10,19
668,43,1,2018-05-10,9.5
669,272,1,2018-05-11,9
670,221,1,2018-05-11,13.5
671,241,1,2018-05-14,19
672,12,1,2018-05-14,11
673,248,1,2018-05-15,7.5
674,210,1,2018-05-15,15
675,9,1,2018-05-16,9
676,33,1,2018-05-16,11
677,220,1,2018-05-17,13
678,108,1,2018-05-17,25
679,201,1,2018-05-18,14
680,66,1,2018-05-18,11
681,162,1,2018-05-21,17
682,269,1,2018-05-21,7.5
683,243,1,2018-05-22,22
684,204,1,2018-05-22,12
685,160,1,2018-05-23,24
686,247,1,2018-05-23,7
687,47,1,2018-05-24,13
688,243,1,2018-05-24,22
689,246,1,2018-05-25,6.5
690,130,1,2018-05-25,20
691,48,1,2018-05-28,13
692,80,1,2018-05-28,25
693,83,1,2018-05-29,28
694,263,1,2018-05-29,8
695,241,1,2018-05-30,19
696,32,1,2018-05-30,10
697,81,1,2018-05-31,26
698,41,1,2018-05-31,11
699,119,1,2018-05-31,29
700,54,1,2018-05-31,13
701,47,1,2018-05-31,13
702,250,1,2018-05-31,8.5
703,227,1,2018-05-31,19
704,167,1,2018-05-31,24
705,178,1,2018-05-31,13
706,113,1,2018-05-31,23
707,246,1,2018-05-31,6.5
708,150,1,2018-06-04,19
709,177,1,2018-06-05,12.5
710,9,1,2018-06-06,9
711,289,1,2018-06-07,32
712,299,1,2018-06-08,42
713,41,1,2018-06-11,11
714,249,1,2018-06-12,8
715,71,1,2018-06-13,23
716,3,1,2018-06-14,9.5
717,234,1,2018-06-15,19
718,45,1,2018-06-18,11
719,226,1,2018-06-19,18
720,299,1,2018-06-20,42
721,41,1,2018-06-21,11
722,250,1,2018-06-22,8.5
723,38,1,2018-06-25,9.5
724,82,1,2018-06-26,27
725,293,1,2018-06-27,45
726,244,1,2018-06-28,24
727,12,1,2018-06-29,11
728,291,1,2018-06-04,38
729,129,1,2018-06-05,19
730,288,1,2018-06-06,28
731,37,1,2018-06-07,9
732,72,1,2018-06-08,24
733,75,1,2018-06-11,27
734,26,1,2018-06-12,11
735,276,1,2018-06-13,7.5
736,9,1,2018-06-14,9
737,125,1,2018-06-15,28
738,152,1,2018-06-18,22
739,229,1,2018-06-19,22
740,226,1,2018-06-20,18
741,12,1,2018-06-21,11
742,180,1,2018-06-22,14
743,290,1,2018-06-25,35
744,229,1,2018-06-26,22
745,246,1,2018-06-27,6.5
746,181,1,2018-06-28,14.5
747,109,1,2018-06-29,26
748,100,1,2018-06-04,24
749,252,1,2018-06-05,10
750,241,1,2018-06-06,19
751,13,1,2018-06-07,11
752,25,1,2018-06-08,10
753,240,1,2018-06-11,18
754,291,1,2018-06-12,38
755,174,1,2018-06-13,14.5
756,298,1,2018-06-14,38
757,8,1,2018-06-15,8.5
758,66,1,2018-06-18,11
759,250,1,2018-06-19,8.5
760,250,1,2018-06-20,8.5
761,25,1,2018-06-21,10
762,43,1,2018-06-22,9.5
763,85,1,2018-06-25,23
764,242,1,2018-06-26,20
765,249,1,2018-06-27,8
766,19,1,2018-06-28,11
767,289,1,2018-06-29,32
768,293,1,2018-06-04,45
769,254,1,2018-06-05,7
770,243,1,2018-06-06,22
771,116,1,2018-06-07,26
772,263,1,2018-06-08,8
773,148,1,2018-06-11,17
774,247,1,2018-06-12,7
775,13,1,2018-06-13,11
776,40,1,2018-06-14,11
777,139,1,2018-06-15,24
778,36,1,2018-06-18,8.5
779,201,1,2018-06-19,14
780,261,1,2018-06-20,7
781,81,1,2018-06-21,26
782,247,1,2018-06-22,7
783,110,1,2018-06-25,27
784,120,1,2018-06-26,23
785,299,1,2018-06-27,42
786,40,1,2018-06-28,11
787,151,1,2018-06-29,20
788,107,1,2018-06-04,24
789,83,1,2018-06-05,28
790,83,1,2018-06-06,28
791,241,1,2018-06-07,19
792,78,1,2018-06-08,23
793,136,1,2018-06-11,19
794,81,1,2018-06-12,26
795,250,1,2018-06-13,8.5
796,231,1,2018-06-14,25
797,230,1,2018-06-15,24
798,45,1,2018-06-18,11
799,243,1,2018-06-19,22
800,78,1,2018-06-20,23
801,236,1,2018-06-21,22
802,239,1,2018-06-22,17
803,232,1,2018-06-25,17
804,74,1,2018-06-26,26
805,11,1,2018-06-27,10
806,57,1,2018-06-28,9.5
807,78,1,2018-06-29,23
808,289,1,2018-06-04,32
809,292,1,2018-06-05,42
810,10,1,2018-06-06,9.5
811,11,1,2018-06-07,10
812,82,1,2018-06-08,27
813,43,1,2018-06-11,9.5
814,16,1,2018-06-12,9
815,79,1,2018-06-13,24
816,45,1,2018-06-14,11
817,177,1,2018-06-15,12.5
818,176,1,2018-06-18,12
819,71,1,2018-06-19,23
820,229,1,2018-06-20,22
821,45,1,2018-06-21,11
822,35,1,2018-06-22,12
823,148,1,2018-06-25,17
824,52,1,2018-06-26,11
825,12,1,2018-06-27,11
826,48,1,2018-06-28,13
827,174,1,2018-06-29,14.5
828,77,1,2018-06-04,29
829,47,1,2018-06-05,13
830,299,1,2018-06-06,42
831,152,1,2018-06-07,22
832,183,1,2018-06-08,12
833,177,1,2018-06-11,12.5
834,43,1,2018-06-12,9.5
835,218,1,2018-06-13,12
836,243,1,2018-06-14,22
837,229,1,2018-06-15,22
838,10,1,2018-06-18,9.5
839,45,1,2018-06-19,11
840,177,1,2018-06-20,12.5
841,80,1,2018-06-21,25
842,40,1,2018-06-22,11
843,46,1,2018-06-25,12
844,208,1,2018-07-02,14
845,209,1,2018-07-02,14.5
846,80,1,2018-07-02,25
847,47,1,2018-07-02,13
848,8,1,2018-07-02,8.5
849,68,1,2018-07-02,13
850,183,1,2018-07-02,12
851,44,1,2018-07-03,10
852,77,1,2018-07-03,29
853,256,1,2018-07-03,8
854,142,1,2018-07-04,18
855,150,1,2018-07-04,19
856,31,1,2018-07-05,9.5
857,48,1,2018-07-05,13
858,288,1,2018-07-05,28
859,177,1,2018-07-05,12.5
860,126,1,2018-07-05,29
861,249,1,2018-07-06,8
862,161,1,2018-07-06,25
863,229,1,2018-07-09,22
864,293,1,2018-07-09,45
865,9,1,2018-07-09,9
866,229,1,2018-07-09,22
867,198,1,2018-07-09,12.5
868,215,1,2018-07-09,14
869,22,1,2018-07-09,8.5
870,296,1,2018-07-09,32
871,45,1,2018-07-10,11
872,288,1,2018-07-10,28
873,45,1,2018-07-10,11
874,206,1,2018-07-11,13
875,27,1,2018-07-11,11
876,11,1,2018-07-11,10
877,298,1,2018-07-11,38
878,239,1,2018-07-11,17
879,11,1,2018-07-11,10
880,293,1,2018-07-11,45
881,218,1,2018-07-12,12
882,259,1,2018-07-12,10
883,11,1,2018-07-12,10
884,47,1,2018-07-12,13
885,185,1,2018-07-12,13
886,36,1,2018-07-13,8.5
887,124,1,2018-07-13,27
888,240,1,2018-07-13,18
889,247,1,2018-07-13,7
890,177,1,2018-07-13,12.5
891,67,1,2018-07-16,12
892,12,1,2018-07-16,11
893,151,1,2018-07-16,20
894,292,1,2018-07-16,42
895,290,1,2018-07-16,35
896,47,1,2018-07-16,13
897,120,1,2018-07-16,23
898,292,1,2018-07-17,42
899,43,1,2018-07-17,9.5
900,226,1,2018-07-17,18
901,249,1,2018-07-18,8
902,153,1,2018-07-18,24
903,159,1,2018-07-18,22
904,46,1,2018-07-18,12
905,82,1,2018-07-18,27
906,292,1,2018-07-18,42
907,229,1,2018-07-19,22
908,229,1,2018-07-19,22
909,23,1,2018-07-19,9
910,152,1,2018-07-19,22
911,17,1,2018-07-19,9.5
912,169,1,2018-07-20,12
913,39,1,2018-07-20,10
914,230,1,2018-07-20,24
915,230,1,2018-07-20,24
916,79,1,2018-07-20,24
917,48,1,2018-07-20,13
918,104,1,2018-07-20,28
919,148,1,2018-07-20,17
920,79,1,2018-07-23,24
921,240,1,2018-07-23,18
922,244,1,2018-07-23,24
