id,fecha,codigo_prenda,talla,cantidad_prenda,codigo_material,cantidad_material,unidad
33,2018-01-03,EXT-SMJ-016,40,6,HIL-001-AZU,30.0,unidades
34,2018-01-03,EXT-SMJ-016,40,6,COR-001-AZU,3.0,metros cuadrados
35,2018-01-03,EXT-SMJ-016,40,6,RIB-001-AZU,5.4,metros cuadrados
36,2018-01-03,EXT-SMJ-016,40,6,CIE-004-CAZ,3.0,metros cuadrados
37,2018-01-03,CAM-CAQUI-008,40,6,TET-001-CAQ,9.0,metros cuadrados
38,2018-01-03,CAM-CAQUI-008,40,6,BOT-003-CAQ,6.0,unidades
39,2018-01-03,CAM-CAQUI-008,40,6,HIL-003-CAQ,48.0,unidades
40,2018-01-03,CAM-CAQUI-008,40,6,PEL-001-PEL,9.0,metros cuadrados
41,2018-01-03,CAM-CAQUI-008,40,6,CLA-001-CLA,3.0,metros cuadrados
42,2018-01-04,FAL-SALESIANAS-023,32,18,CAS-001-PLO,18.0,metros cuadrados
43,2018-01-04,FAL-SALESIANAS-023,32,18,BOT-005-PLO,18.0,unidades
44,2018-01-04,FAL-SALESIANAS-023,32,18,CIE-009-PLO,18.0,unidades
45,2018-01-04,FAL-SALESIANAS-023,32,18,PEL-001-PEL,12.6,metros cuadrados
46,2018-01-04,FAL-SALESIANAS-023,32,18,PRE-003-PLO,16.2,metros cuadrados
47,2018-01-04,FAL-SALESIANAS-023,32,18,HIL-005-PLO,18.0,unidades
48,2018-01-04,PNT-CAQUI-034,38,6,TET-001-CAQ,8.4,metros cuadrados
49,2018-01-04,PNT-CAQUI-034,38,6,CIE-007-DAM,6.0,unidades
50,2018-01-04,PNT-CAQUI-034,38,6,PEL-001-PEL,4.8,metros cuadrados
51,2018-01-04,PNT-CAQUI-034,38,6,BOT-003-CAQ,12.0,unidades
52,2018-01-04,PNT-CAQUI-034,38,6,GAN-001-PAN,6.0,unidades
53,2018-01-04,PNT-CAQUI-034,38,6,HIL-003-CAQ,12.0,unidades
54,2018-01-04,PNT-CAQUI-034,38,6,PRE-002-CAQ,9.0,metros cuadrados
55,2018-01-04,VES-FATIMAS-041,30,6,ESC-001-CAF,9.0,metros cuadrados
56,2018-01-04,VES-FATIMAS-041,30,6,PRE-002-CAQ,1.8,metros cuadrados
57,2018-01-04,VES-FATIMAS-041,30,6,CIE-001-ABA,1.8,metros cuadrados
58,2018-01-04,VES-FATIMAS-041,30,6,HIL-003-CAQ,12.0,unidades
59,2018-01-05,BLU-SFN-005,38,6,FAS-002-RAY,9.0,metros cuadrados
60,2018-01-05,BLU-SFN-005,38,6,HIL-005-PLO,6.0,unidades
61,2018-01-05,BLU-SFN-005,38,6,BOT-005-PLO,42.0,unidades
62,2018-01-05,BLU-SFN-005,38,6,PEL-001-PEL,9.0,metros cuadrados
63,2018-01-05,BLU-SFN-005,38,6,CLA-001-CLA,3.0,metros cuadrados
64,2018-01-05,INT-MALDONADO-027,40,6,JER-001-BLA,3.0,metros cuadrados
65,2018-01-05,INT-MALDONADO-027,40,6,RIB-004-ROJ,1.2,metros cuadrados
66,2018-01-05,INT-MALDONADO-027,40,6,HIL-002-BLA,12.0,unidades
67,2018-01-05,INT-MALDONADO-027,40,6,VIO-003-BNE,3.0,metros cuadrados
68,2018-01-05,INT-MALDONADO-027,40,6,HIL-004-NEG,12.0,unidades
69,2018-01-05,INT-SFN-029,28,18,JER-001-BLA,10.8,metros cuadrados
70,2018-01-05,INT-SFN-029,28,18,RIB-001-AZU,14.4,metros cuadrados
71,2018-01-05,INT-SFN-029,28,18,CAP-001-AZU,9.0,metros cuadrados
72,2018-01-05,INT-SFN-029,28,18,HIL-002-BLA,18.0,unidades
73,2018-01-05,INT-SFN-029,28,18,HIL-001-AZU,18.0,unidades
74,2018-01-05,BLU-PLOMA-003,28,12,CAS-003-PLO,12.0,metros cuadrados
75,2018-01-05,BLU-PLOMA-003,28,12,HIL-005-PLO,12.0,unidades
76,2018-01-05,BLU-PLOMA-003,28,12,BOT-005-PLO,144.0,unidades
77,2018-01-05,BLU-PLOMA-003,28,12,PEL-001-PEL,18.0,metros cuadrados
78,2018-01-05,BLU-PLOMA-003,28,12,CLA-001-CLA,6.0,metros cuadrados
79,2018-01-06,FAL-SALESIANAS-023,36,6,CAS-001-PLO,7.2,metros cuadrados
80,2018-01-06,FAL-SALESIANAS-023,36,6,BOT-005-PLO,6.0,unidades
81,2018-01-06,FAL-SALESIANAS-023,36,6,CIE-009-PLO,6.0,unidades
82,2018-01-06,FAL-SALESIANAS-023,36,6,PEL-001-PEL,5.4,metros cuadrados
83,2018-01-06,FAL-SALESIANAS-023,36,6,PRE-003-PLO,5.4,metros cuadrados
84,2018-01-06,FAL-SALESIANAS-023,36,6,HIL-005-PLO,12.0,unidades
85,2018-01-06,FAL-SALESIANAS-023,28,12,CAS-001-PLO,12.0,metros cuadrados
86,2018-01-06,FAL-SALESIANAS-023,28,12,BOT-005-PLO,12.0,unidades
87,2018-01-06,FAL-SALESIANAS-023,28,12,CIE-009-PLO,12.0,unidades
88,2018-01-06,FAL-SALESIANAS-023,28,12,PEL-001-PEL,7.2,metros cuadrados
89,2018-01-06,FAL-SALESIANAS-023,28,12,PRE-003-PLO,10.8,metros cuadrados
90,2018-01-06,FAL-SALESIANAS-023,28,12,HIL-005-PLO,12.0,unidades
91,2018-01-08,INT-MALDONADO-027,36,6,JER-001-BLA,3.0,metros cuadrados
92,2018-01-08,INT-MALDONADO-027,36,6,RIB-004-ROJ,1.2,metros cuadrados
93,2018-01-08,INT-MALDONADO-027,36,6,HIL-002-BLA,12.0,unidades
94,2018-01-08,INT-MALDONADO-027,36,6,VIO-003-BNE,3.0,metros cuadrados
95,2018-01-08,INT-MALDONADO-027,36,6,HIL-004-NEG,12.0,unidades
96,2018-01-08,FAL-SVP-024,30,6,ESC-003-CAZ,6.0,metros cuadrados
97,2018-01-08,FAL-SVP-024,30,6,BOT-001-AZU,6.0,unidades
98,2018-01-08,FAL-SVP-024,30,6,HIL-001-AZU,6.0,unidades
99,2018-01-08,FAL-SVP-024,30,6,CIE-007-DAM,6.0,unidades
100,2018-01-08,FAL-SVP-024,30,6,PRE-001-AZM,4.2,metros cuadrados
101,2018-01-08,FAL-SVP-024,30,6,PEL-001-PEL,5.4,metros cuadrados
102,2018-01-08,INT-STAR-031,34,6,JER-001-BLA,2.4,metros cuadrados
103,2018-01-08,INT-STAR-031,34,6,RIB-002-BLA,1.2,metros cuadrados
104,2018-01-08,INT-STAR-031,34,6,HIL-002-BLA,6.0,unidades
105,2018-01-08,INT-STAR-031,34,6,VIO-001-AZU,3.0,metros cuadrados
106,2018-01-08,INT-STAR-031,34,6,HIL-001-AZU,12.0,unidades
107,2018-01-08,INT-STAR-031,34,6,RIB-001-AZU,9.0,metros cuadrados
108,2018-01-08,PNT-CAQUI-034,28,6,TET-001-CAQ,6.0,metros cuadrados
109,2018-01-08,PNT-CAQUI-034,28,6,CIE-007-DAM,6.0,unidades
110,2018-01-08,PNT-CAQUI-034,28,6,PEL-001-PEL,3.6,metros cuadrados
111,2018-01-08,PNT-CAQUI-034,28,6,BOT-003-CAQ,12.0,unidades
112,2018-01-08,PNT-CAQUI-034,28,6,GAN-001-PAN,6.0,unidades
113,2018-01-08,PNT-CAQUI-034,28,6,HIL-003-CAQ,6.0,unidades
114,2018-01-08,PNT-CAQUI-034,28,6,PRE-002-CAQ,6.0,metros cuadrados
115,2018-01-08,INT-MALDONADO-027,36,24,JER-001-BLA,12.0,metros cuadrados
116,2018-01-08,INT-MALDONADO-027,36,24,RIB-004-ROJ,4.8,metros cuadrados
117,2018-01-08,INT-MALDONADO-027,36,24,HIL-002-BLA,48.0,unidades
118,2018-01-08,INT-MALDONADO-027,36,24,VIO-003-BNE,12.0,metros cuadrados
119,2018-01-08,INT-MALDONADO-027,36,24,HIL-004-NEG,48.0,unidades
120,2018-01-08,PNT-PLOMO-035,34,12,CAP-003-PLO,15.6,metros cuadrados
121,2018-01-08,PNT-PLOMO-035,34,12,CIE-007-DAM,12.0,unidades
122,2018-01-08,PNT-PLOMO-035,34,12,PEL-001-PEL,9.6,metros cuadrados
123,2018-01-08,PNT-PLOMO-035,34,12,BOT-005-PLO,24.0,unidades
124,2018-01-08,PNT-PLOMO-035,34,12,GAN-001-PAN,12.0,unidades
125,2018-01-08,PNT-PLOMO-035,34,12,HIL-005-PLO,24.0,unidades
126,2018-01-08,PNT-PLOMO-035,34,12,PRE-003-PLO,15.6,metros cuadrados
127,2018-01-10,INT-CISNEROS-025,30,12,JER-001-BLA,7.2,metros cuadrados
128,2018-01-10,INT-CISNEROS-025,30,12,RIB-005-VER,21.6,metros cuadrados
129,2018-01-10,INT-CISNEROS-025,30,12,HIL-002-BLA,12.0,unidades
130,2018-01-10,INT-CISNEROS-025,30,12,VIO-005-VER,6.6,metros cuadrados
131,2018-01-10,INT-CISNEROS-025,30,12,HIL-007-VER,24.0,unidades
132,2018-01-10,INT-CISNEROS-025,30,12,ELA-001-ELA,6.0,metros cuadrados
133,2018-01-10,INT-CISNEROS-025,30,12,COR-004-VER,8.4,metros cuadrados
134,2018-01-11,FAL-SALESIANAS-023,34,18,CAS-001-PLO,21.6,metros cuadrados
135,2018-01-11,FAL-SALESIANAS-023,34,18,BOT-005-PLO,18.0,unidades
136,2018-01-11,FAL-SALESIANAS-023,34,18,CIE-009-PLO,18.0,unidades
137,2018-01-11,FAL-SALESIANAS-023,34,18,PEL-001-PEL,16.2,metros cuadrados
138,2018-01-11,FAL-SALESIANAS-023,34,18,PRE-003-PLO,16.2,metros cuadrados
139,2018-01-11,FAL-SALESIANAS-023,34,18,HIL-005-PLO,36.0,unidades
140,2018-01-11,FAL-AZUL-019,28,6,CAS-002-AZM,5.4,metros cuadrados
141,2018-01-11,FAL-AZUL-019,28,6,BOT-001-AZU,6.0,unidades
142,2018-01-11,FAL-AZUL-019,28,6,CIE-002-AZU,6.0,unidades
143,2018-01-11,FAL-AZUL-019,28,6,PEL-001-PEL,5.4,metros cuadrados
144,2018-01-11,FAL-AZUL-019,28,6,HIL-001-AZU,12.0,unidades
145,2018-01-11,FAL-AZUL-019,28,6,PRE-001-AZM,3.6,metros cuadrados
146,2018-01-11,CAM-SFN-010,34,6,FAS-002-RAY,8.4,metros cuadrados
147,2018-01-11,CAM-SFN-010,34,6,BOT-005-PLO,6.0,unidades
148,2018-01-11,CAM-SFN-010,34,6,HIL-005-PLO,48.0,unidades
149,2018-01-11,CAM-SFN-010,34,6,PEL-001-PEL,9.0,metros cuadrados
150,2018-01-11,CAM-SFN-010,34,6,CLA-001-CLA,3.0,metros cuadrados
151,2018-01-12,INT-SFN-029,36,6,JER-001-BLA,4.8,metros cuadrados
152,2018-01-12,INT-SFN-029,36,6,RIB-001-AZU,5.4,metros cuadrados
153,2018-01-12,INT-SFN-029,36,6,CAP-001-AZU,3.0,metros cuadrados
154,2018-01-12,INT-SFN-029,36,6,HIL-002-BLA,6.0,unidades
155,2018-01-12,INT-SFN-029,36,6,HIL-001-AZU,6.0,unidades
156,2018-01-12,PNT-AZUL-033,28,12,CAS-002-AZM,12.0,metros cuadrados
157,2018-01-12,PNT-AZUL-033,28,12,CIE-007-DAM,12.0,unidades
158,2018-01-12,PNT-AZUL-033,28,12,PEL-001-PEL,7.2,metros cuadrados
159,2018-01-12,PNT-AZUL-033,28,12,BOT-001-AZU,24.0,unidades
160,2018-01-12,PNT-AZUL-033,28,12,GAN-001-PAN,12.0,unidades
161,2018-01-12,PNT-AZUL-033,28,12,HIL-001-AZU,12.0,unidades
162,2018-01-12,PNT-AZUL-033,28,12,PRE-001-AZM,12.0,metros cuadrados
163,2018-01-15,BLU-REDONDO-004,38,12,GRA-001-BLA,18.0,metros cuadrados
164,2018-01-15,BLU-REDONDO-004,38,12,HIL-002-BLA,12.0,unidades
165,2018-01-15,BLU-REDONDO-004,38,12,BOT-002-BLA,72.0,unidades
166,2018-01-15,BLU-REDONDO-004,38,12,PEL-001-PEL,18.0,metros cuadrados
167,2018-01-15,BLU-REDONDO-004,38,12,CLA-001-CLA,6.0,metros cuadrados
168,2018-01-15,INT-MALDONADO-027,36,24,JER-001-BLA,12.0,metros cuadrados
169,2018-01-15,INT-MALDONADO-027,36,24,RIB-004-ROJ,4.8,metros cuadrados
170,2018-01-15,INT-MALDONADO-027,36,24,HIL-002-BLA,48.0,unidades
171,2018-01-15,INT-MALDONADO-027,36,24,VIO-003-BNE,12.0,metros cuadrados
172,2018-01-15,INT-MALDONADO-027,36,24,HIL-004-NEG,48.0,unidades
173,2018-01-15,INT-SMJ-030,32,6,JER-001-BLA,3.0,metros cuadrados
174,2018-01-15,INT-SMJ-030,32,6,RIB-002-BLA,1.2,metros cuadrados
175,2018-01-15,INT-SMJ-030,32,6,HIL-002-BLA,6.0,unidades
176,2018-01-15,INT-SMJ-030,32,6,QUI-001-BLA,0.36,metros cuadrados
177,2018-01-15,INT-SMJ-030,32,6,VIO-001-AZU,2.4,metros cuadrados
178,2018-01-15,INT-SMJ-030,32,6,HIL-001-AZU,6.0,unidades
179,2018-01-15,INT-SMJ-030,32,6,RIB-001-AZU,9.0,metros cuadrados
180,2018-01-15,EXT-SMJ-016,34,6,CAP-002-AZM,12.6,metros cuadrados
181,2018-01-15,EXT-SMJ-016,34,6,ELA-001-ELA,3.6,metros cuadrados
182,2018-01-15,EXT-SMJ-016,34,6,HIL-001-AZU,30.0,unidades
183,2018-01-15,EXT-SMJ-016,34,6,COR-001-AZU,3.0,metros cuadrados
184,2018-01-15,EXT-SMJ-016,34,6,RIB-001-AZU,5.4,metros cuadrados
185,2018-01-15,EXT-SMJ-016,34,6,CIE-004-CAZ,3.0,metros cuadrados
186,2018-01-15,CAM-SFN-010,34,12,FAS-002-RAY,16.8,metros cuadrados
187,2018-01-15,CAM-SFN-010,34,12,BOT-005-PLO,12.0,unidades
188,2018-01-15,CAM-SFN-010,34,12,HIL-005-PLO,96.0,unidades
189,2018-01-15,CAM-SFN-010,34,12,PEL-001-PEL,18.0,metros cuadrados
190,2018-01-15,CAM-SFN-010,34,12,CLA-001-CLA,6.0,metros cuadrados
191,2018-01-16,CAM-SFN-010,32,6,FAS-002-RAY,6.6,metros cuadrados
192,2018-01-16,CAM-SFN-010,32,6,BOT-005-PLO,6.0,unidades
193,2018-01-16,CAM-SFN-010,32,6,HIL-005-PLO,48.0,unidades
194,2018-01-16,CAM-SFN-010,32,6,PEL-001-PEL,9.0,metros cuadrados
195,2018-01-16,CAM-SFN-010,32,6,CLA-001-CLA,3.0,metros cuadrados
196,2018-01-16,EXT-CISNEROS-011,28,18,CAP-003-PLO,27.0,metros cuadrados
197,2018-01-16,EXT-CISNEROS-011,28,18,ELA-001-ELA,9.0,metros cuadrados
198,2018-01-16,EXT-CISNEROS-011,28,18,COR-003-PLO,16.2,metros cuadrados
199,2018-01-16,EXT-CISNEROS-011,28,18,CIE-006-CVE,7.2,metros cuadrados
200,2018-01-16,EXT-CISNEROS-011,28,18,RIB-005-VER,9.0,metros cuadrados
201,2018-01-16,EXT-CISNEROS-011,28,18,HIL-005-PLO,54.0,unidades
202,2018-01-16,CAM-PLOMO-009,32,18,CAS-003-PLO,19.8,metros cuadrados
203,2018-01-16,CAM-PLOMO-009,32,18,BOT-005-PLO,18.0,unidades
204,2018-01-16,CAM-PLOMO-009,32,18,HIL-005-PLO,144.0,unidades
205,2018-01-16,CAM-PLOMO-009,32,18,PEL-001-PEL,27.0,metros cuadrados
206,2018-01-16,CAM-PLOMO-009,32,18,CLA-001-CLA,9.0,metros cuadrados
207,2018-01-17,EXT-CISNEROS-011,30,18,CAP-003-PLO,30.6,metros cuadrados
208,2018-01-17,EXT-CISNEROS-011,30,18,ELA-001-ELA,9.0,metros cuadrados
209,2018-01-17,EXT-CISNEROS-011,30,18,COR-003-PLO,16.2,metros cuadrados
210,2018-01-17,EXT-CISNEROS-011,30,18,CIE-006-CVE,12.6,metros cuadrados
211,2018-01-17,EXT-CISNEROS-011,30,18,RIB-005-VER,9.0,metros cuadrados
212,2018-01-17,EXT-CISNEROS-011,30,18,HIL-005-PLO,54.0,unidades
213,2018-01-17,POL-SALESIANAS-037,36,6,PIQ-001-BLA,4.8,metros cuadrados
214,2018-01-17,POL-SALESIANAS-037,36,6,CUE-001-TEJ,6.0,unidades
215,2018-01-17,POL-SALESIANAS-037,36,6,PUN-001-TEJ,12.0,unidades
216,2018-01-17,POL-SALESIANAS-037,36,6,BOT-007-TRA,18.0,unidades
217,2018-01-17,POL-SALESIANAS-037,36,6,PEL-001-PEL,2.4,metros cuadrados
218,2018-01-18,FAL-SALESIANAS-023,28,12,CAS-001-PLO,12.0,metros cuadrados
219,2018-01-18,FAL-SALESIANAS-023,28,12,BOT-005-PLO,12.0,unidades
220,2018-01-18,FAL-SALESIANAS-023,28,12,CIE-009-PLO,12.0,unidades
221,2018-01-18,FAL-SALESIANAS-023,28,12,PEL-001-PEL,7.2,metros cuadrados
222,2018-01-18,FAL-SALESIANAS-023,28,12,PRE-003-PLO,10.8,metros cuadrados
223,2018-01-18,FAL-SALESIANAS-023,28,12,HIL-005-PLO,12.0,unidades
224,2018-01-18,CAM-BLANCA-007,38,6,FAS-001-BLA,9.0,metros cuadrados
225,2018-01-18,CAM-BLANCA-007,38,6,BOT-002-BLA,6.0,unidades
226,2018-01-18,CAM-BLANCA-007,38,6,HIL-002-BLA,48.0,unidades
227,2018-01-18,CAM-BLANCA-007,38,6,PEL-001-PEL,9.0,metros cuadrados
228,2018-01-18,CAM-BLANCA-007,38,6,CLA-001-CLA,3.0,metros cuadrados
229,2018-01-19,CAM-SFN-010,36,12,FAS-002-RAY,16.8,metros cuadrados
230,2018-01-19,CAM-SFN-010,36,12,BOT-005-PLO,12.0,unidades
231,2018-01-19,CAM-SFN-010,36,12,HIL-005-PLO,96.0,unidades
232,2018-01-19,CAM-SFN-010,36,12,PEL-001-PEL,18.0,metros cuadrados
233,2018-01-19,CAM-SFN-010,36,12,CLA-001-CLA,6.0,metros cuadrados
234,2018-01-20,EXT-SFN-015,36,12,ADI-003-AZM,12.0,metros cuadrados
235,2018-01-20,EXT-SFN-015,36,12,ADI-004-BLA,12.0,metros cuadrados
236,2018-01-20,EXT-SFN-015,36,12,ADI-001-AMA,12.0,metros cuadrados
237,2018-01-20,EXT-SFN-015,36,12,CIE-004-CAZ,9.6,metros cuadrados
238,2018-01-20,EXT-SFN-015,36,12,CIE-002-AZU,7.2,unidades
239,2018-01-20,EXT-SFN-015,36,12,HIL-001-AZU,24.0,unidades
240,2018-01-20,EXT-SFN-015,36,12,HIL-002-BLA,12.0,unidades
241,2018-01-20,INT-SMJ-030,28,6,JER-001-BLA,2.4,metros cuadrados
242,2018-01-20,INT-SMJ-030,28,6,RIB-002-BLA,1.2,metros cuadrados
243,2018-01-20,INT-SMJ-030,28,6,HIL-002-BLA,6.0,unidades
244,2018-01-20,INT-SMJ-030,28,6,QUI-001-BLA,0.36,metros cuadrados
245,2018-01-20,INT-SMJ-030,28,6,VIO-001-AZU,2.4,metros cuadrados
246,2018-01-20,INT-SMJ-030,28,6,HIL-001-AZU,6.0,unidades
247,2018-01-20,INT-SMJ-030,28,6,RIB-001-AZU,9.0,metros cuadrados
248,2018-01-20,EXT-MALDONADO-013,40,18,RIB-003-NEG,21.6,metros cuadrados
249,2018-01-20,EXT-MALDONADO-013,40,18,CIE-005-CNE,27.0,metros cuadrados
250,2018-01-20,EXT-MALDONADO-013,40,18,CIE-008-NEG,18.0,unidades
251,2018-01-20,EXT-MALDONADO-013,40,18,HIL-004-NEG,9.0,unidades
252,2018-01-20,EXT-MALDONADO-013,40,18,ELA-001-ELA,13.5,metros cuadrados
253,2018-01-20,EXT-MALDONADO-013,40,18,COR-002-NEG,36.0,metros cuadrados
254,2018-01-20,EXT-MALDONADO-013,40,18,VIO-002-BBL,72.0,metros cuadrados
255,2018-01-20,EXT-MALDONADO-013,40,18,VIO-003-BNE,16.2,metros cuadrados
256,2018-01-20,EXT-SALESIANAS-014,32,6,CAP-002-AZM,12.0,metros cuadrados
257,2018-01-20,EXT-SALESIANAS-014,32,6,CIE-004-CAZ,3.6,metros cuadrados
258,2018-01-20,EXT-SALESIANAS-014,32,6,ELA-001-ELA,3.0,metros cuadrados
259,2018-01-20,EXT-SALESIANAS-014,32,6,COR-001-AZU,5.4,metros cuadrados
260,2018-01-20,EXT-SALESIANAS-014,32,6,HIL-001-AZU,24.0,unidades
261,2018-01-22,EXT-MJM-012,28,6,CAP-002-AZM,12.0,metros cuadrados
262,2018-01-22,EXT-MJM-012,28,6,HIL-001-AZU,30.0,unidades
263,2018-01-22,EXT-MJM-012,28,6,ELA-001-ELA,3.0,metros cuadrados
264,2018-01-22,EXT-MJM-012,28,6,COR-001-AZU,5.4,metros cuadrados
265,2018-01-22,EXT-MJM-012,28,6,RIB-001-AZU,3.0,metros cuadrados
266,2018-01-22,VES-FATIMAS-041,28,6,ESC-001-CAF,7.2,metros cuadrados
267,2018-01-22,VES-FATIMAS-041,28,6,PRE-002-CAQ,1.8,metros cuadrados
268,2018-01-22,VES-FATIMAS-041,28,6,CIE-001-ABA,1.2,metros cuadrados
269,2018-01-22,VES-FATIMAS-041,28,6,HIL-003-CAQ,12.0,unidades
270,2018-01-22,VES-SMJ-043,28,24,CAS-002-AZM,28.8,metros cuadrados
271,2018-01-22,VES-SMJ-043,28,24,CIE-004-CAZ,4.8,metros cuadrados
272,2018-01-22,VES-SMJ-043,28,24,PRE-002-CAQ,7.68,metros cuadrados
273,2018-01-22,VES-SMJ-043,28,24,HEB-001-DOR,24.0,unidades
274,2018-01-22,VES-SMJ-043,28,24,RES-001-CIN,24.0,unidades
275,2018-01-22,VES-SMJ-043,28,24,OJA-001-DOR,72.0,unidades
276,2018-01-22,VES-SMJ-043,28,24,HIL-001-AZU,72.0,unidades
277,2018-01-23,INT-SMJ-030,30,12,JER-001-BLA,6.0,metros cuadrados
278,2018-01-23,INT-SMJ-030,30,12,RIB-002-BLA,2.4,metros cuadrados
279,2018-01-23,INT-SMJ-030,30,12,HIL-002-BLA,12.0,unidades
280,2018-01-23,INT-SMJ-030,30,12,QUI-001-BLA,0.72,metros cuadrados
281,2018-01-23,INT-SMJ-030,30,12,VIO-001-AZU,4.8,metros cuadrados
282,2018-01-23,INT-SMJ-030,30,12,HIL-001-AZU,12.0,unidades
283,2018-01-23,INT-SMJ-030,30,12,RIB-001-AZU,18.0,metros cuadrados
284,2018-01-23,EXT-CISNEROS-011,38,12,CAP-003-PLO,26.4,metros cuadrados
285,2018-01-23,EXT-CISNEROS-011,38,12,ELA-001-ELA,6.0,metros cuadrados
286,2018-01-23,EXT-CISNEROS-011,38,12,COR-003-PLO,10.8,metros cuadrados
287,2018-01-23,EXT-CISNEROS-011,38,12,CIE-006-CVE,18.0,metros cuadrados
288,2018-01-23,EXT-CISNEROS-011,38,12,RIB-005-VER,6.0,metros cuadrados
289,2018-01-23,EXT-CISNEROS-011,38,12,HIL-005-PLO,36.0,unidades
290,2018-01-23,POL-STAR-039,34,6,PIQ-001-BLA,4.8,metros cuadrados
291,2018-01-23,POL-STAR-039,34,6,CUE-001-TEJ,6.0,unidades
292,2018-01-23,POL-STAR-039,34,6,PUN-001-TEJ,12.0,unidades
293,2018-01-23,POL-STAR-039,34,6,BOT-007-TRA,18.0,unidades
294,2018-01-23,POL-STAR-039,34,6,PEL-001-PEL,2.4,metros cuadrados
295,2018-01-24,CAM-SFN-010,32,12,FAS-002-RAY,13.2,metros cuadrados
296,2018-01-24,CAM-SFN-010,32,12,BOT-005-PLO,12.0,unidades
297,2018-01-24,CAM-SFN-010,32,12,HIL-005-PLO,96.0,unidades
298,2018-01-24,CAM-SFN-010,32,12,PEL-001-PEL,18.0,metros cuadrados
299,2018-01-24,CAM-SFN-010,32,12,CLA-001-CLA,6.0,metros cuadrados
300,2018-01-24,CAM-CAQUI-008,40,12,TET-001-CAQ,18.0,metros cuadrados
301,2018-01-24,CAM-CAQUI-008,40,12,BOT-003-CAQ,12.0,unidades
302,2018-01-24,CAM-CAQUI-008,40,12,HIL-003-CAQ,96.0,unidades
303,2018-01-24,CAM-CAQUI-008,40,12,PEL-001-PEL,18.0,metros cuadrados
304,2018-01-24,CAM-CAQUI-008,40,12,CLA-001-CLA,6.0,metros cuadrados
305,2018-01-25,PNT-PLOMO-035,34,18,CAP-003-PLO,23.4,metros cuadrados
306,2018-01-25,PNT-PLOMO-035,34,18,CIE-007-DAM,18.0,unidades
307,2018-01-25,PNT-PLOMO-035,34,18,PEL-001-PEL,14.4,metros cuadrados
308,2018-01-25,PNT-PLOMO-035,34,18,BOT-005-PLO,36.0,unidades
309,2018-01-25,PNT-PLOMO-035,34,18,GAN-001-PAN,18.0,unidades
310,2018-01-25,PNT-PLOMO-035,34,18,HIL-005-PLO,36.0,unidades
